Disease	Gene	Differential Expression	PB-ROC	PN-ROC
cancer	RFC2	vs bgc: up, vs negatives: up	0.7	0.71
cancer	CBX3	vs bgc: up, vs negatives: up	0.68	0.72
cancer	ERH	vs bgc: up, vs negatives: up	0.65	0.66
cancer	ZNF146	vs bgc: up, vs negatives: up	0.66	0.68
cancer	ILF2	vs bgc: up, vs negatives: up	0.73	0.71
cancer	PTGES3	vs bgc: up, vs negatives: up	0.65	0.69
cancer	SET	vs bgc: up, vs negatives: up	0.66	0.67
cancer	MARCKSL1	vs bgc: up, vs negatives: up	0.69	0.69
cancer	CAPRIN1	vs bgc: up, vs negatives: up	0.66	0.7
cancer	RAN	vs bgc: up, vs negatives: up	0.68	0.69
cancer	SNRPD2	vs bgc: up, vs negatives: up	0.67	0.67
cancer	CCT3	vs bgc: up, vs negatives: up	0.68	0.74
cancer	TRIM28	vs bgc: up, vs negatives: up	0.65	0.72
cancer	KPNA2	vs bgc: up, vs negatives: up	0.72	0.71
cancer	PCNA	vs bgc: up, vs negatives: up	0.67	0.74
cancer	TOP2A	vs bgc: up, vs negatives: up	0.81	0.84
cancer	SOX4	vs bgc: up, vs negatives: up	0.71	0.79
cancer	BUB3	vs bgc: up, vs negatives: up	0.71	0.69
cancer	RRM1	vs bgc: up, vs negatives: up	0.7	0.66
cancer	DKC1	vs bgc: up, vs negatives: up	0.71	0.71
cancer	TSN	vs bgc: up, vs negatives: up	0.67	0.68
cancer	MCM3	vs bgc: up, vs negatives: up	0.72	0.7
cancer	NME1	vs bgc: up, vs negatives: up	0.74	0.76
cancer	DDX39A	vs bgc: up, vs negatives: up	0.72	0.68
cancer	IRAK1	vs bgc: up, vs negatives: up	0.65	0.68
cancer	SMC4	vs bgc: up, vs negatives: up	0.72	0.76
cancer	PSMA1	vs bgc: up, vs negatives: up	0.66	0.66
cancer	TP53	vs bgc: up, vs negatives: up	0.65	0.65
cancer	MCM5	vs bgc: up, vs negatives: up	0.65	0.67
cancer	MTHFD2	vs bgc: up, vs negatives: up	0.74	0.71
cancer	ADNP	vs bgc: up, vs negatives: up	0.69	0.69
cancer	ABCE1	vs bgc: up, vs negatives: up	0.67	0.66
cancer	RRM2	vs bgc: up, vs negatives: up	0.78	0.81
cancer	CKS1B	vs bgc: up, vs negatives: up	0.7	0.76
cancer	UBE2A	vs bgc: up, vs negatives: up	0.68	0.65
cancer	MCM6	vs bgc: up, vs negatives: up	0.74	0.7
cancer	CCT2	vs bgc: up, vs negatives: up	0.73	0.73
cancer	FIBP	vs bgc: up, vs negatives: up	0.68	0.7
cancer	SLC39A6	vs bgc: up, vs negatives: up	0.67	0.69
cancer	BIRC5	vs bgc: up, vs negatives: up	0.72	0.79
cancer	MCM2	vs bgc: up, vs negatives: up	0.74	0.77
cancer	CDK4	vs bgc: up, vs negatives: up	0.73	0.79
cancer	POLR2G	vs bgc: up, vs negatives: up	0.65	0.66
cancer	TK1	vs bgc: up, vs negatives: up	0.7	0.76
cancer	USP1	vs bgc: up, vs negatives: up	0.66	0.66
cancer	RXRA	vs bgc: down, vs negatives: down	0.68	0.72
cancer	CPSF6	vs bgc: up, vs negatives: up	0.66	0.67
cancer	KIAA0101	vs bgc: up, vs negatives: up	0.78	0.71
cancer	FOXM1	vs bgc: up, vs negatives: up	0.76	0.84
cancer	TYMS	vs bgc: up, vs negatives: up	0.72	0.75
cancer	ACTL6A	vs bgc: up, vs negatives: up	0.65	0.67
